city,country,x1,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x28,x29,x33,x34,x35,x36,x38,x39,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,weekly_groceries,latitude,longitude
Paris,France,15.58,1.25,2.08,2.17,3.58,17.2,12.68,22.13,3.02,2.04,2.76,3.69,2.15,2.16,1.49,0.83,8.31,2.08,2.98,1.97,77.9,2.1,22851.33,28272.02,197.79,30.52,37.16,101.55,40.47,92.98,136.99,1325.47,978.26,2968.63,2018.27,12811.7,9084.89,2741.22,1.67,105.2,48.8588897,2.3200410217200766
London,United Kingdom,18.02,1.32,1.24,2.09,2.86,7.76,7.93,11.68,2.5,1.5,2.21,2.8,1.37,1.41,1.01,1.38,10.81,2.31,2.82,3.12,180.18,2.11,27627.06,27839.82,288.5,35.29,51.32,88.55,40.49,89.98,105.4,2311.99,1669.19,3875.48,2730.82,14554.52,7905.58,3905.7,2.91,80.2,51.5073219,-0.1276474
Madrid,Spain,12.46,0.89,1.08,1.2,2.38,10.5,7.34,11.9,2.09,1.88,1.71,1.9,1.25,1.4,1.04,0.72,5.19,1.03,1.58,1.56,56.66,1.98,25967.42,25042.03,163.71,37.21,42.61,75.35,34.62,78.15,95.09,1041.06,827.49,1781.48,1287.54,5469.86,3667.02,2022.6,2.29,65.96000000000001,40.4167047,-3.7035825
Barcelona,Spain,14.54,0.98,1.48,1.33,2.59,12.13,7.34,11.97,2.04,1.96,1.8,2.28,1.38,1.5,1.05,0.8,6.23,1.14,1.7,2.49,41.55,2.02,25966.38,26447.5,168.41,39.57,45.0,75.31,32.3,80.89,105.06,1075.89,840.13,1772.54,1368.73,5030.24,3059.61,1924.32,2.11,72.54,41.3828939,2.1774322
Berlin,Germany,12.46,1.17,1.67,2.39,2.98,12.14,9.73,14.22,2.7,1.82,2.52,3.09,1.98,1.48,1.4,0.68,5.71,1.11,1.59,3.12,88.29,2.14,27006.11,28068.05,302.6,39.91,40.44,86.72,36.66,84.97,108.49,1307.95,953.36,2410.4,1722.39,8481.5,5598.57,3086.47,2.16,79.25000000000003,52.5170365,13.3888599
Rome,Italy,16.1,1.58,1.6,2.19,3.48,16.16,9.74,15.47,2.39,1.88,2.38,2.64,1.58,1.55,1.13,0.53,6.75,1.49,2.28,1.56,36.35,2.04,25967.42,28245.13,194.77,28.84,52.37,82.22,36.0,94.75,114.59,1055.02,717.64,2251.75,1348.63,7023.57,3534.68,1549.17,1.91,88.63999999999999,41.8933203,12.4829321
Vienna,Austria,15.58,1.33,1.91,1.9,3.64,11.69,10.8,15.84,2.32,1.79,2.54,3.02,1.71,1.45,1.56,0.67,6.23,1.07,1.48,2.49,36.35,2.0,24367.82,20179.93,213.45,33.66,28.68,94.92,34.32,92.17,123.29,983.06,690.86,1932.98,1328.32,9095.45,5760.31,2662.28,2.15,85.05,48.2083537,16.3725042
Hamburg,Germany,14.02,1.18,2.34,2.23,3.69,11.94,8.87,13.97,2.93,1.83,2.27,2.03,1.43,0.97,1.19,0.7,7.27,0.71,1.4,3.39,95.56,2.2,27483.91,31289.01,283.04,37.21,54.57,90.48,44.46,107.07,146.58,1107.94,832.6,2114.05,1587.26,9125.69,5853.8,3127.85,1.94,79.57,53.550341,10.000654
Brussels,Belgium,15.58,1.11,2.0,1.95,3.02,14.45,9.83,17.06,2.36,1.6,2.53,2.57,1.4,1.27,1.51,0.98,8.31,2.18,3.28,2.49,51.93,1.95,25967.42,27764.36,206.48,50.69,32.04,82.62,29.37,90.37,122.67,963.92,804.19,1692.13,1489.71,4122.27,3445.01,2736.44,1.64,89.71000000000001,50.8465573,4.351697
Munich,Germany,15.58,1.26,1.91,2.39,3.34,13.59,10.25,19.3,2.9,1.85,2.49,2.83,2.09,1.32,1.48,0.82,7.27,1.04,1.94,3.64,61.39,2.18,25759.68,23145.41,302.32,37.61,40.06,89.94,37.01,92.98,119.4,1407.34,1077.2,2563.69,1932.74,12777.09,9381.58,3435.65,2.0,91.71,48.1371079,11.5753822
Milan,Italy,20.77,1.49,2.27,2.72,3.54,14.14,10.82,20.06,2.37,2.05,2.1,2.77,1.49,1.14,1.15,0.48,7.27,1.48,2.05,2.08,40.51,2.06,25188.39,28372.65,215.09,29.61,77.92,94.52,34.14,100.45,157.4,1304.32,856.0,2689.48,1746.49,8983.21,4691.45,1868.62,1.66,98.10999999999999,45.4641943,9.1896346
Birmingham,United Kingdom,12.9,1.17,1.18,1.56,2.29,7.31,6.6,9.55,2.11,1.18,2.24,2.23,1.32,1.3,0.68,1.31,8.41,1.88,1.96,2.88,72.07,1.9,28828.24,27226.67,214.74,32.43,31.08,77.41,36.04,86.85,75.07,970.33,741.2,2134.34,1411.38,6790.28,3964.17,2907.2,3.05,65.22,52.4796992,-1.9026911
Copenhagen,Denmark,19.55,1.79,2.83,2.48,4.2,11.53,10.31,14.77,2.76,2.47,2.57,3.86,1.73,1.4,1.8,1.13,9.78,1.72,2.23,3.35,75.42,2.17,39107.33,37350.11,200.85,36.22,40.09,105.17,50.67,113.99,155.3,1705.63,1278.77,2593.58,1985.3,7693.77,5370.61,3595.94,1.69,96.68,55.6867243,12.5700724
Cologne,Germany,12.98,1.08,1.91,2.15,2.67,12.08,10.14,13.85,2.76,1.65,2.11,1.39,1.88,1.2,1.5,0.64,5.19,0.56,1.87,3.12,98.68,2.17,24092.57,27629.75,276.45,34.39,32.08,85.04,30.12,83.47,115.21,886.09,681.64,1649.93,1206.37,5933.55,4596.23,2444.84,2.67,75.74,50.938361,6.959974
